Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	PPP1R2C	80316	O14990	PPP1R2C family member C	Enzyme modulator	231	0.478	0.846		0.1		1.0	13	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CEP70	80321	Q8NHQ1	centrosomal protein 70		20	0.743	0.462	4.5554e-15	0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ADAM33	80332	Q9BZ11	ADAM metallopeptidase domain 33	Enzyme	49	0.636	0.423	2.1487e-15	0.1		0.929	14	6	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HMGA2	8091	P52926	high mobility group AT-hook 2	Nucleic acid binding	382	0.429	0.808	0.87015	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RSPH6A	81492	Q9H0K4	radial spoke head 6 homolog A	Cellular structure	7	0.821	0.308	2.3355e-10	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TSPAN14	81619	Q8NG11	tetraspanin 14		13	0.78	0.231	0.97908	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SYN3	8224	O14994	synapsin III	Cellular structure	38	0.686	0.462	0.0018871	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LRMDA	83938	Q9H2I8	leucine rich melanocyte differentiation associated		64	0.659	0.577	0.0002589	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADGRV1	84059	Q8WXG9	adhesion G protein-coupled receptor V1	G-protein coupled receptor	125	0.572	0.731	3.1737e-39	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ARMC2	84071	Q8NEN0	armadillo repeat containing 2		21	0.805	0.115	2.4785e-09	0.1		1.0	2	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ZDHHC18	84243	Q9NUE0	zinc finger DHHC-type palmitoyltransferase 18		12	0.861	0.154	0.0024011	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ABLIM2	84448	Q6H8Q1	actin binding LIM protein family member 2	Cellular structure	6	0.89	0.231	0.0045858	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CAT	847	P04040	catalase	Enzyme	794	0.359	0.962	1.6263e-10	0.1		0.917	12	1	2006.0	2020.0
Chronic Obstructive Airway Disease	C0024117	TOX2	84969	Q96NM4	TOX high mobility group box family member 2		28	0.736	0.154	0.031987	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ADAM19	8728	Q9H013	ADAM metallopeptidase domain 19	Enzyme	45	0.659	0.538	6.8e-05	0.1		1.0	2	4	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CDC123	8872	O75794	cell division cycle 123		21	0.78	0.231	1.1066e-05	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HERC1	8925	Q15751	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	Enzyme modulator	57	0.674	0.5	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PKD2L1	9033	Q9P0L9	polycystin 2 like 1, transient receptor potential cation channel	Ion channel	124	0.565	0.731	1.5748e-27	0.1		1.0	1	2	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	IL33	90865	O95760	interleukin 33		487	0.409	0.885	8.2925e-10	0.1		1.0	14	1	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLXNA4	91584	Q9HCM2	plexin A4		18	0.792	0.231	0.99999	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	WDR20	91833	Q8TBZ3	WD repeat domain 20		77	0.595	0.769	0.91532	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MFHAS1	9258	Q9Y4C4	malignant fibrous histiocytoma amplified sequence 1		25	0.729	0.538	4.2417e-09	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	KCNG4	93107	Q8TDN1	potassium voltage-gated channel modifier subfamily G member 4	Ion channel	4	0.861	0.192	4.2136e-16	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	ADIPOQ	9370	Q15848	adiponectin, C1Q and collagen domain containing		679	0.376	0.885	4.6434e-09	0.1		0.909	11	1	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CDRT15P1	94158		CMT1A duplicated region transcript 15 pseudogene 1		1	1.0	0.038		0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CDYL	9425	Q9Y232	chromodomain Y like		18	0.76	0.308	0.99504	0.1		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	TBX4	9496	P57082	T-box transcription factor 4	Transcription factor	127	0.576	0.731	0.5048	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SEC24C	9632	P53992	SEC24 homolog C, COPII coat complex component	Transporter	139	0.543	0.808	1.0	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	VGLL4	9686	Q14135	vestigial like family member 4		33	0.716	0.231	0.072826	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TM9SF4	9777	Q92544	transmembrane 9 superfamily member 4	Transporter	13	0.821	0.154	0.999	0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ATP2C2	9914	O75185	ATPase secretory pathway Ca2+ transporting 2	Transporter	18	0.769	0.308	5.0246e-60	0.1		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	MIR146A	406938		microRNA 146a		505	0.398	0.885		0.09		1.0	9	1	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	1083	0.322	0.885	0.99964	0.09		1.0	9	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.09		1.0	9	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	STAT3	6774	P40763	signal transducer and activator of transcription 3	Nucleic acid binding	1193	0.32	0.923	1.0	0.09		1.0	9	0	2009.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CHI3L1	1116	P36222	chitinase 3 like 1		420	0.419	0.885	1.1133e-05	0.08		1.0	8	1	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLCO6A1	133482	Q86UG4	solute carrier organic anion transporter family member 6A1	Transporter	449	0.412	0.885	2.8807e-11	0.08		0.875	8	0	2000.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EDN1	1906	P05305	endothelin 1	Signaling	679	0.38	0.846	0.45504	0.08		1.0	8	1	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.08		0.875	8	1	2000.0	2014.0
Chronic Obstructive Airway Disease	C0024117	GSTK1	373156	Q9Y2Q3	glutathione S-transferase kappa 1		445	0.412	0.885	1.9374e-06	0.08		0.875	8	0	2000.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAPK1	5594	P28482	mitogen-activated protein kinase 1	Kinase	1059	0.33	0.923	0.99698	0.08		1.0	8	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TSLP	85480	Q969D9	thymic stromal lymphopoietin		220	0.486	0.808	0.0040357	0.08		1.0	8	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CDKN2A	1029	P42771;Q8N726	cyclin dependent kinase inhibitor 2A		1314	0.3	0.885	0.39474	0.07		0.714	7	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AHSA1	10598	O95433	activator of HSP90 ATPase activity 1		526	0.396	0.923	0.99896	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SERPINA3	12	P01011	serpin family A member 3	Enzyme modulator	229	0.486	0.846	8.833e-14	0.07		1.0	7	1	1993.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CRK	1398	P46108	CRK proto-oncogene, adaptor protein		544	0.394	0.923	0.95936	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CSF2	1437	P04141	colony stimulating factor 2	Signaling	1028	0.33	0.962	0.83468	0.07		1.0	7	1	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RNF19A	25897	Q9NV58	ring finger protein 19A, RBR E3 ubiquitin protein ligase	Enzyme	523	0.397	0.923	0.025305	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	POLDIP2	26073	Q9Y2S7	DNA polymerase delta interacting protein 2		530	0.396	0.923	0.41407	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ICAM1	3383	P05362	intercellular adhesion molecule 1		737	0.364	0.962	0.035295	0.07		1.0	7	0	1998.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR21	406991		microRNA 21		726	0.363	0.846		0.07		1.0	7	0	2014.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMP2	4313	P08253	matrix metallopeptidase 2	Enzyme	1021	0.333	0.923	0.83878	0.07		1.0	7	4	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IL22	50616	Q9GZX6	interleukin 22		551	0.393	0.885	0.00018843	0.07		1.0	7	0	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MYDGF	56005	Q969H8	myeloid derived growth factor		295	0.451	0.846	3.4923e-06	0.07		1.0	7	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AIMP2	7965	Q13155	aminoacyl tRNA synthetase complex interacting multifunctional protein 2		555	0.393	0.923	0.008024	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GRAP2	9402	O75791	GRB2 related adaptor protein 2		538	0.394	0.923	0.00015256	0.07		1.0	7	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CTNNB1	1499	P35222	catenin beta 1		1368	0.303	0.885	0.99999	0.06		1.0	6	0	2011.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL27	246778	Q8NEV9	interleukin 27		286	0.457	0.808	0.78232	0.06		1.0	6	2	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MSTN	2660	O14793	myostatin	Signaling	159	0.528	0.731	0.5052	0.06		0.833	6	0	2011.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NR3C1	2908	P04150	nuclear receptor subfamily 3 group C member 1	Nuclear receptor	590	0.393	0.885	0.96958	0.06		1.0	6	1	1998.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GSTM2	2946	P28161	glutathione S-transferase mu 2		195	0.488	0.808	3.3913e-07	0.06		1.0	6	0	2000.0	2012.0
Chronic Obstructive Airway Disease	C0024117	HMGB1	3146	P09429	high mobility group box 1	Nucleic acid binding	724	0.368	0.923	0.82035	0.06		1.0	6	0	2015.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL4	3565	P05112	interleukin 4		996	0.332	0.962	0.0047372	0.06		1.0	6	0	2007.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CXCR2	3579	P25025	C-X-C motif chemokine receptor 2	G-protein coupled receptor	335	0.445	0.923	0.013736	0.06		1.0	6	0	2003.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FOXP3	50943	Q9BZS1	forkhead box P3		688	0.368	0.846	0.99424	0.06		1.0	6	0	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAPK3	5595	P27361	mitogen-activated protein kinase 3	Kinase	647	0.379	0.885	0.036884	0.06		1.0	6	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ACTB	60	P60709	actin beta	Cellular structure	1110	0.325	0.923	0.98564	0.06		1.0	6	0	2001.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC6A4	6532	P31645	solute carrier family 6 member 4	Transporter	440	0.429	0.808	0.24602	0.06		1.0	6	2	2003.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.06		1.0	6	2	2006.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SOD2	6648	P04179	superoxide dismutase 2	Enzyme	668	0.379	0.923	0.15499	0.06		1.0	6	1	2006.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SPP1	6696	P10451	secreted phosphoprotein 1		824	0.353	0.885	2.146e-06	0.06		1.0	6	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	VIM	7431	P08670	vimentin		644	0.372	0.846	0.71255	0.06		1.0	6	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	VIP	7432	P01282	vasoactive intestinal peptide	Signaling	376	0.437	0.846	0.00041995	0.06		1.0	6	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CAMP	820	P49913	cathelicidin antimicrobial peptide		262	0.466	0.846	0.0043897	0.06		1.0	6	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GDF15	9518	Q99988	growth differentiation factor 15	Signaling	389	0.429	0.808	3.0133e-07	0.06		1.0	6	0	2012.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD40	958	P25942	CD40 molecule		528	0.396	0.846	0.84603	0.06		0.833	6	0	2005.0	2020.0
Chronic Obstructive Airway Disease	C0024117	MTCO2P12	107075310		MT-CO2 pseudogene 12		703	0.368	0.962		0.05		0.8	5	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCR5	1234	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	G-protein coupled receptor	508	0.398	0.885	4.3094e-10	0.05		1.0	5	0	2007.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IFNA1	3439	P01562	interferon alpha 1		662	0.371	0.923		0.05		1.0	5	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IFNA13	3447	P01562	interferon alpha 13		646	0.374	0.923		0.05		1.0	5	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IFNB1	3456	P01574	interferon beta 1		426	0.421	0.846		0.05		1.0	5	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITGAM	3684	P11215	integrin subunit alpha M		343	0.443	0.808	3.3148e-11	0.05		1.0	5	0	1998.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LEP	3952	P41159	leptin		931	0.349	0.846	0.46491	0.05		1.0	5	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR145	406937		microRNA 145		366	0.431	0.846		0.05		1.0	5	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAFD2	4096		major affective disorder 2		46	0.641	0.731		0.05		1.0	5	0	2017.0	2020.0
Chronic Obstructive Airway Disease	C0024117	COX2	4513	P00403	cytochrome c oxidase subunit II	Enzyme	875	0.352	0.962		0.05		0.8	5	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC26A4	5172	O43511	solute carrier family 26 member 4	Transporter	194	0.507	0.885	8.9898e-22	0.05		1.0	5	1	2008.0	2015.0
Chronic Obstructive Airway Disease	C0024117	IL17D	53342	Q8TAD2	interleukin 17D		259	0.464	0.808	0.19796	0.05		1.0	5	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BCL2	596	P10415	BCL2 apoptosis regulator	Signaling	1456	0.291	0.885	0.55903	0.05		1.0	5	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TIMP2	7077	P16035	TIMP metallopeptidase inhibitor 2	Enzyme modulator	404	0.425	0.846	0.78893	0.05		1.0	5	0	2001.0	2010.0
Chronic Obstructive Airway Disease	C0024117	MUC5B	727897	Q9HC84	mucin 5B, oligomeric mucus/gel-forming		141	0.532	0.808	0.99999	0.05		1.0	5	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	VDR	7421	P11473	vitamin D receptor	Nuclear receptor	852	0.352	0.885	1.6787e-05	0.05		1.0	5	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DEFB4B	100289462	O15263	defensin beta 4B		166	0.51	0.769	0.067977	0.04		1.0	4	0	2010.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CEL	1056	P19835	carboxyl ester lipase		172	0.514	0.808	1.538e-06	0.04		1.0	4	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	POSTN	10631	Q15063	periostin	Signaling	378	0.428	0.885	1.0666e-09	0.04		1.0	4	0	2016.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	Transcription factor	350	0.453	0.885	0.9973	0.04		1.0	4	0	2010.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SLC27A5	10998	Q9Y2P5	solute carrier family 27 member 5	Transporter	111	0.563	0.769	8.3678e-15	0.04		1.0	4	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHIT1	1118	Q13231	chitinase 1		142	0.525	0.692	7.1716e-16	0.04		1.0	4	1	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EGLN2	112398	Q96KS0	egl-9 family hypoxia inducible factor 2		68	0.604	0.731	0.72166	0.04		1.0	4	1	2013.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		805	0.361	0.962	0.00081103	0.04		1.0	4	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	H3P10	115482713		H3 histone pseudogene 10		769	0.35	0.846		0.04		0.5	4	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PARP1	142	P09874	poly(ADP-ribose) polymerase 1		565	0.389	0.923	0.00033366	0.04		1.0	4	0	2003.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CST3	1471	P01034	cystatin C		370	0.436	0.808	0.0039011	0.04		1.0	4	0	2014.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CTSS	1520	P25774	cathepsin S	Enzyme	131	0.539	0.731	0.34178	0.04		1.0	4	1	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYP2A6	1548	P11509	cytochrome P450 family 2 subfamily A member 6		133	0.556	0.731	5.401e-09	0.04		0.75	4	0	2003.0	2014.0
Chronic Obstructive Airway Disease	C0024117	DEFB4A	1673	O15263	defensin beta 4A		177	0.507	0.769	0.0011637	0.04		1.0	4	0	2010.0	2017.0
Chronic Obstructive Airway Disease	C0024117	EGR1	1958	P18146	early growth response 1	Nucleic acid binding	378	0.433	0.923	0.3509	0.04		1.0	4	0	2006.0	2017.0
Chronic Obstructive Airway Disease	C0024117	AHR	196	P35869	aryl hydrocarbon receptor	Transcription factor	532	0.41	0.923	0.99999	0.04		0.75	4	0	2014.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FGF7	2252	P21781	fibroblast growth factor 7	Signaling	167	0.519	0.846	0.77089	0.04		1.0	4	3	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FOXO1	2308	Q12778	forkhead box O1		380	0.433	0.846	0.99725	0.04		1.0	4	0	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FN1	2335	P02751	fibronectin 1	Signaling	724	0.365	0.962	0.0014045	0.04		1.0	4	0	2011.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GCLC	2729	P48506	glutamate-cysteine ligase catalytic subunit	Enzyme	198	0.509	0.885	0.42718	0.04		0.75	4	0	2000.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GLP1R	2740	P43220	glucagon like peptide 1 receptor	G-protein coupled receptor	288	0.471	0.846	0.29347	0.04		1.0	4	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AQP5	362	P55064	aquaporin 5	Ion channel	119	0.552	0.769	0.053249	0.04		1.0	4	0	2007.0	2016.0
Chronic Obstructive Airway Disease	C0024117	LTB	4050	Q06643	lymphotoxin beta	Signaling	110	0.555	0.769	9.6063e-11	0.04		0.75	4	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR223	407008		microRNA 223		348	0.433	0.808		0.04		1.0	4	0	2012.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR34A	407040		microRNA 34a		428	0.421	0.846		0.04		1.0	4	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SMAD2	4087	Q15796	SMAD family member 2	Transcription factor	289	0.456	0.808	0.99661	0.04		1.0	4	0	2004.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SMAD3	4088	P84022	SMAD family member 3	Transcription factor	470	0.415	0.923	0.79796	0.04		1.0	4	1	2004.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MBL2	4153	P11226	mannose binding lectin 2	Receptor	563	0.39	0.846	0.0026836	0.04		0.75	4	0	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	NOTCH1	4851	P46531	notch receptor 1		693	0.369	0.885	1.0	0.04		1.0	4	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTPA	5524	Q15257	protein phosphatase 2 phosphatase activator	Enzyme modulator	245	0.48	0.846	0.99057	0.04		1.0	4	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTAFR	5724	P25105	platelet activating factor receptor	G-protein coupled receptor	96	0.575	0.731	0.24232	0.04		1.0	4	0	2016.0	2020.0
Chronic Obstructive Airway Disease	C0024117	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.04		1.0	4	1	2009.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PTX3	5806	P26022	pentraxin 3		296	0.457	0.808	6.9827e-05	0.04		1.0	4	1	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.04		1.0	4	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCL5	6352	P13501	C-C motif chemokine ligand 5	Signaling	514	0.403	0.885	0.0017516	0.04		1.0	4	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TLR3	7098	O15455	toll like receptor 3	Receptor	393	0.427	0.885	1.6349e-07	0.04		1.0	4	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	XRCC5	7520	P13010	X-ray repair cross complementing 5	Enzyme	113	0.554	0.808	0.99999	0.04		1.0	4	2	2010.0	2014.0
Chronic Obstructive Airway Disease	C0024117	PARP9	83666	Q8IXQ6	poly(ADP-ribose) polymerase family member 9		116	0.554	0.808	4.998e-09	0.04		1.0	4	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADO	84890	Q96SZ5	2-aminoethanethiol dioxygenase		41	0.67	0.538	0.48027	0.04		1.0	4	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CFLAR	8837	O15519	CASP8 and FADD like apoptosis regulator	Enzyme	215	0.485	0.846	0.99967	0.04		1.0	4	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NR1I2	8856	O75469	nuclear receptor subfamily 1 group I member 2	Nuclear receptor	462	0.418	0.846	7.2668e-09	0.04		1.0	4	0	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	DNER	92737	Q8NFT8	delta/notch like EGF repeat containing		203	0.493	0.769	0.1859	0.04		1.0	4	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SIGLEC14	100049587	Q08ET2	sialic acid binding Ig like lectin 14		18	0.736	0.269	0.0013412	0.03		1.0	3	0	2013.0	2014.0
Chronic Obstructive Airway Disease	C0024117	LINC01672	100505887		long intergenic non-protein coding RNA 1672		268	0.462	0.846		0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GDF11	10220	O95390	growth differentiation factor 11	Signaling	86	0.584	0.692	0.97645	0.03		1.0	3	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL17F	112744	Q96PD4	interleukin 17F		236	0.48	0.808	0.039165	0.03		1.0	3	1	2006.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.03		1.0	3	0	2013.0	2020.0
Chronic Obstructive Airway Disease	C0024117	FBXO32	114907	Q969P5	F-box protein 32		68	0.636	0.615	0.99692	0.03		1.0	3	0	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CLCA1	1179	A8K7I4	chloride channel accessory 1	Ion channel	42	0.659	0.538	3.2791e-09	0.03		1.0	3	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCR6	1235	P51684	C-C motif chemokine receptor 6	G-protein coupled receptor	231	0.485	0.808	0.0057867	0.03		1.0	3	0	2007.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CSF3	1440	P09919	colony stimulating factor 3		687	0.377	0.885	0.38046	0.03		1.0	3	0	2003.0	2020.0
Chronic Obstructive Airway Disease	C0024117	PWAR1	145624		Prader Willi/Angelman region RNA 1		246	0.49	0.769		0.03		1.0	3	0	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	DEFB1	1672	P60022	defensin beta 1		177	0.509	0.808	0.4059	0.03		0.667	3	0	2002.0	2015.0
Chronic Obstructive Airway Disease	C0024117	DPP4	1803	P27487	dipeptidyl peptidase 4	Enzyme	451	0.42	0.808	7.2797e-09	0.03		1.0	3	0	2016.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ABCA1	19	O95477	ATP binding cassette subfamily A member 1	Transporter	291	0.467	0.846	1.4525e-13	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EGF	1950	P01133	epidermal growth factor		774	0.357	0.923	8.5294e-17	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EPAS1	2034	Q99814	endothelial PAS domain protein 1	Transcription factor	293	0.454	0.731	0.5961	0.03		1.0	3	0	2015.0	2019.0
Chronic Obstructive Airway Disease	C0024117	F2R	2149	P25116	coagulation factor II thrombin receptor	G-protein coupled receptor	347	0.444	0.846	0.0084678	0.03		1.0	3	2	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	FGF10	2255	O15520	fibroblast growth factor 10	Signaling	152	0.53	0.692	0.93779	0.03		1.0	3	0	2011.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NLRP1	22861	Q9C000	NLR family pyrin domain containing 1		200	0.502	0.769	4.9693e-19	0.03		1.0	3	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMRN1	22915	Q13201	multimerin 1		272	0.465	0.846	2.0714e-25	0.03		1.0	3	0	2013.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DDX58	23586	O95786	DExD/H-box helicase 58		144	0.526	0.808	1.7558e-23	0.03		1.0	3	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GCG	2641	P01275	glucagon		441	0.431	0.885	0.034814	0.03		1.0	3	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL17C	27189	Q9P0M4	interleukin 17C		61	0.619	0.692	0.0001243	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CXCR3	2833	P49682	C-X-C motif chemokine receptor 3	G-protein coupled receptor	367	0.436	0.808	0.181	0.03		1.0	3	0	2001.0	2018.0
